69,RACHEL ,CAINE,1,0,0,0,0,0,,RACHEL  CAINE,

70,ANN,AGUIRRE,1,0,0,0,0,0,,ANN AGUIRRE,

71,DEB,CALETTI,1,0,0,0,0,0,,DEB CALETTI,

72,ORSON SCOTT,CARD,1,0,0,0,0,0,,ORSON SCOTT CARD,

73,MELODY,CARLSON,1,0,0,0,0,0,,MELODY CARLSON,

74,MICHAEL OWEN,CARROLL,1,0,0,0,0,0,,MICHAEL OWEN CARROLL,

75,RAE,CARSON,1,0,0,0,0,0,,RAE CARSON,

76,KRISTIN,CASHORE,1,0,0,0,0,0,,KRISTIN CASHORE,

77,KIERA,CASS,1,0,0,0,0,0,,KIERA CASS,

78,P C ,CAST,1,0,0,0,0,0,,P C  CAST,

79,KRISTIN,CAST,1,0,0,0,0,0,,KRISTIN CAST,

80,JENNIFER,CASTLE,1,0,0,0,0,0,,JENNIFER CASTLE,

81,BRITTANY,CAVALLARO,1,0,0,0,0,0,,BRITTANY CAVALLARO,

82,JOELLE,CHARBONNEAU,1,0,0,0,0,0,,JOELLE CHARBONNEAU,

83,STEPHEN,CHBOSKY,1,0,0,0,0,0,,STEPHEN CHBOSKY,

84,TRACI,CHEE,0,0,0,0,0,0,,TRACI CHEE,

85,KAT,CHO,0,0,0,0,0,0,,KAT CHO,

86,MARY H K,CHOI,0,0,0,0,0,0,,MARY H K CHOI,

87,GENNIFER,CHOLDENKO,1,0,0,0,0,0,,GENNIFER CHOLDENKO,

88,LUCY,CHRISTOPHER,1,0,0,0,0,0,,LUCY CHRISTOPHER,

89,unknown,unknown,0,0,0,0,0,0,,unknown unknown,

90,CASSANDRA,CLARE,1,0,1,0,0,0,,CASSANDRA CLARE,

91,DAVID,CLEMENT DAVIES,1,0,0,0,0,0,,DAVID CLEMENT DAVIES,

92,ROSEMARY,CLEMENT MOORE,1,0,0,0,0,0,,ROSEMARY CLEMENT MOORE,

93,ERNEST,CLINE,1,0,0,0,0,0,,ERNEST CLINE,

94,REBECCA,COFFINDAFFER,0,0,0,0,0,1,,REBECCA COFFINDAFFER,3

95,RACHEL,COHN,1,0,0,0,0,0,,RACHEL COHN,

96,SUSANN,COKAL,1,0,0,0,0,0,,SUSANN COKAL,

97,BRANDY,COLBERT,0,0,0,0,0,0,,BRANDY COLBERT,

98,KRESLEY,COLE,1,0,0,0,0,0,,KRESLEY COLE,

99,SUZANNE,COLLINS,1,0,0,0,0,0,,SUZANNE COLLINS,

100,ALLYSON BRAITHWAITE,CONDIE,1,0,0,0,0,0,,ALLYSON BRAITHWAITE CONDIE,

101,DAVE,CONNIS,1,0,0,0,0,0,,DAVE CONNIS,

102,JOHN,CONNOLLY,1,0,0,0,0,0,,JOHN CONNOLLY,

103,CAROLINE B,COONEY,1,0,0,0,0,0,,CAROLINE B COONEY,

104,E E,COOPER,0,0,0,0,0,0,,E E COOPER,

105,ZORAIDA,CORDOVA,0,0,0,0,0,0,,ZORAIDA CORDOVA,

106,SHELLEY,CORIELL,1,0,0,0,0,0,,SHELLEY CORIELL,

107,ROBERT,CORMIER,1,0,0,0,0,0,,ROBERT CORMIER,

108,SARAH,CORNWELL,1,0,0,0,0,0,,SARAH CORNWELL,

